[33msteamclient:[0m connecting to 155.133.242.8:27018
[33msteamclient:[0m connected
[33msteamclient:[0m encrypt request
[33msteamclient:[0m handshake complete
[ 20:55:17 ] Начинаем раунд №49
[ 20:56:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:57:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:08 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:09 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:10 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:11 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:12 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:13 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:14 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:15 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:16 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:17 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:18 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:19 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:58:46 ] Проверка ставки: 784062491 (76561198200506802)
