[33msteamclient:[0m connecting to 185.25.182.10:27020
[33msteamclient:[0m connected
[33msteamclient:[0m encrypt request
[33msteamclient:[0m handshake complete
[ 07:01:27 ] Получаем новые ставки. Конец раунда.  
[ 07:01:28 ] Начинаем раунд №614
[ 07:04:22 ] Проверяем новые ставки...
[ 07:04:23 ] Новых ставок нет...
[ 07:04:27 ] Проверяем новые ставки...
[ 07:04:28 ] Новых ставок нет...
[ 07:04:32 ] Проверяем новые ставки...
[ 07:04:34 ] Новых ставок нет...
[ 07:04:37 ] Проверяем новые ставки...
[ 07:04:39 ] Новых ставок нет...
[ 07:04:42 ] Проверяем новые ставки...
[ 07:04:43 ] Новых ставок нет...
[ 07:04:47 ] Проверяем новые ставки...
[ 07:04:49 ] Новых ставок нет...
[ 07:04:52 ] Проверяем новые ставки...
[ 07:04:53 ] Новых ставок нет...
[ 07:04:57 ] Проверяем новые ставки...
[ 07:04:58 ] Новых ставок нет...
[ 07:05:02 ] Проверяем новые ставки...
[ 07:05:03 ] Новых ставок нет...
[ 07:05:07 ] Проверяем новые ставки...
[ 07:05:08 ] Новых ставок нет...
[ 07:05:12 ] Проверяем новые ставки...
[ 07:05:13 ] Новых ставок нет...
[ 07:05:17 ] Проверяем новые ставки...
[ 07:05:19 ] Новых ставок нет...
[ 07:05:22 ] Проверяем новые ставки...
[ 07:05:23 ] Новых ставок нет...
[ 07:05:27 ] Проверяем новые ставки...
[ 07:05:28 ] Новых ставок нет...
[ 07:05:32 ] Проверяем новые ставки...
[ 07:05:33 ] Новых ставок нет...
[ 07:05:37 ] Проверяем новые ставки...
[ 07:05:39 ] Новых ставок нет...
[ 07:05:42 ] Проверяем новые ставки...
[ 07:05:44 ] Новых ставок нет...
[ 07:05:47 ] Проверяем новые ставки...
[ 07:05:48 ] Новых ставок нет...
[ 07:05:52 ] Проверяем новые ставки...
[ 07:05:53 ] Новых ставок нет...
[ 07:05:57 ] Проверяем новые ставки...
[ 07:05:58 ] Новых ставок нет...
[ 07:06:02 ] Проверяем новые ставки...
[ 07:06:03 ] Новых ставок нет...
[ 07:06:07 ] Проверяем новые ставки...
[ 07:06:09 ] Новых ставок нет...
[ 07:06:12 ] Проверяем новые ставки...
[ 07:06:13 ] Новых ставок нет...
[ 07:06:17 ] Проверяем новые ставки...
[ 07:06:18 ] Новых ставок нет...
[ 07:06:22 ] Проверяем новые ставки...
[ 07:06:23 ] Новых ставок нет...
[ 07:06:27 ] Проверяем новые ставки...
[ 07:06:29 ] Новых ставок нет...
[ 07:06:32 ] Проверяем новые ставки...
[ 07:06:33 ] Новых ставок нет...
[ 07:06:37 ] Проверяем новые ставки...
[ 07:06:38 ] Новых ставок нет...
[ 07:06:42 ] Проверяем новые ставки...
[ 07:06:43 ] Новых ставок нет...
[ 07:06:47 ] Проверяем новые ставки...
[ 07:06:49 ] Новых ставок нет...
[ 07:06:52 ] Проверяем новые ставки...
[ 07:06:54 ] Новых ставок нет...
[ 07:06:57 ] Проверяем новые ставки...
[ 07:06:58 ] Новых ставок нет...
[ 07:07:02 ] Проверяем новые ставки...
[ 07:07:03 ] Новых ставок нет...
[ 07:07:07 ] Проверяем новые ставки...
[ 07:07:08 ] Новых ставок нет...
[ 07:07:12 ] Проверяем новые ставки...
[ 07:07:13 ] Новых ставок нет...
[ 07:07:17 ] Проверяем новые ставки...
[ 07:07:18 ] Новых ставок нет...
[ 07:07:22 ] Проверяем новые ставки...
[ 07:07:23 ] Новых ставок нет...
[ 07:07:27 ] Проверяем новые ставки...
[ 07:07:29 ] Новых ставок нет...
[ 07:07:32 ] Проверяем новые ставки...
[ 07:07:34 ] Новых ставок нет...
[ 07:07:37 ] Проверяем новые ставки...
[ 07:07:38 ] Новых ставок нет...
[ 07:07:42 ] Проверяем новые ставки...
[ 07:07:43 ] Новых ставок нет...
[ 07:07:47 ] Проверяем новые ставки...
[ 07:07:49 ] Новых ставок нет...
[ 07:07:52 ] Проверяем новые ставки...
[ 07:07:53 ] Новых ставок нет...
[ 07:07:57 ] Проверяем новые ставки...
[ 07:07:58 ] Новых ставок нет...
[ 07:08:02 ] Проверяем новые ставки...
[ 07:08:04 ] Новых ставок нет...
[ 07:08:07 ] Проверяем новые ставки...
[ 07:08:08 ] Новых ставок нет...
[ 07:08:12 ] Проверяем новые ставки...
[ 07:08:13 ] Новых ставок нет...
[ 07:08:17 ] Проверяем новые ставки...
[ 07:08:18 ] Новых ставок нет...
[ 07:08:22 ] Проверяем новые ставки...
[ 07:08:23 ] Новых ставок: 1
[ 07:08:23 ] Проверяем новую ставку: 813406934 (76561198168211579)
[ 07:08:23 ] Начинаем обрабатывать ставку: 813406934 (76561198168211579)
[ 07:08:23 ] Проверяем вещи в ставке: 813406934 (76561198168211579)
[ 07:08:24 ] Все ОК. Ожидаем подтверждения ставки: 813406934 (76561198168211579)
[ 07:08:27 ] Проверяем новые ставки...
[ 07:08:29 ] Новых ставок нет...
[ 07:08:32 ] Проверяем новые ставки...
[ 07:08:34 ] Новых ставок нет...
[ 07:08:37 ] Проверяем новые ставки...
[ 07:08:38 ] Новых ставок нет...
[ 07:08:42 ] Проверяем новые ставки...
[ 07:08:43 ] Новых ставок нет...
[ 07:08:47 ] Проверяем новые ставки...
[ 07:08:48 ] Новых ставок нет...
[ 07:08:52 ] Проверяем новые ставки...
[ 07:08:54 ] Новых ставок нет...
[ 07:08:57 ] Проверяем новые ставки...
[ 07:08:58 ] Новых ставок нет...
[ 07:09:02 ] Проверяем новые ставки...
[ 07:09:04 ] Новых ставок нет...
[ 07:09:07 ] Проверяем новые ставки...
[ 07:09:09 ] Новых ставок нет...
[ 07:09:12 ] Проверяем новые ставки...
[ 07:09:14 ] Новых ставок нет...
[ 07:09:17 ] Проверяем новые ставки...
[ 07:09:18 ] Новых ставок нет...
[ 07:09:22 ] Проверяем новые ставки...
[ 07:09:24 ] Новых ставок нет...
[ 07:09:27 ] Проверяем новые ставки...
[ 07:09:28 ] Новых ставок нет...
[ 07:09:32 ] Проверяем новые ставки...
[ 07:09:34 ] Новых ставок нет...
[ 07:09:37 ] Проверяем новые ставки...
[ 07:09:38 ] Новых ставок нет...
[ 07:09:42 ] Проверяем новые ставки...
[ 07:09:44 ] Новых ставок нет...
[ 07:09:47 ] Проверяем новые ставки...
[ 07:09:49 ] Новых ставок нет...
[ 07:09:52 ] Проверяем новые ставки...
[ 07:09:54 ] Новых ставок нет...
[ 07:09:57 ] Проверяем новые ставки...
[ 07:09:58 ] Новых ставок нет...
[ 07:10:02 ] Проверяем новые ставки...
[ 07:10:04 ] Новых ставок нет...
[ 07:10:08 ] Проверяем новые ставки...
[ 07:10:08 ] Новых ставок нет...
[ 07:10:13 ] Проверяем новые ставки...
[ 07:10:14 ] Новых ставок нет...
[ 07:10:18 ] Проверяем новые ставки...
[ 07:10:19 ] Новых ставок нет...
[ 07:10:23 ] Проверяем новые ставки...
[ 07:10:24 ] Новых ставок нет...
[ 07:10:28 ] Проверяем новые ставки...
[ 07:10:28 ] Новых ставок нет...
[ 07:10:33 ] Проверяем новые ставки...
[ 07:10:34 ] Новых ставок нет...
[ 07:10:38 ] Проверяем новые ставки...
[ 07:10:39 ] Новых ставок нет...
[ 07:10:43 ] Проверяем новые ставки...
[ 07:10:44 ] Новых ставок нет...
[ 07:10:48 ] Проверяем новые ставки...
[ 07:10:48 ] Новых ставок нет...
[ 07:10:53 ] Проверяем новые ставки...
[ 07:10:53 ] Новых ставок нет...
[ 07:10:58 ] Проверяем новые ставки...
[ 07:10:59 ] Новых ставок нет...
[ 07:11:03 ] Проверяем новые ставки...
[ 07:11:03 ] Новых ставок нет...
[ 07:11:08 ] Проверяем новые ставки...
[ 07:11:09 ] Новых ставок нет...
[ 07:11:13 ] Проверяем новые ставки...
[ 07:11:13 ] Новых ставок нет...
[ 07:11:18 ] Проверяем новые ставки...
[ 07:11:18 ] Новых ставок нет...
[ 07:11:23 ] Проверяем новые ставки...
[ 07:11:23 ] Новых ставок нет...
[ 07:11:28 ] Проверяем новые ставки...
[ 07:11:30 ] Новых ставок нет...
[ 07:11:33 ] Проверяем новые ставки...
[ 07:11:33 ] Новых ставок нет...
[ 07:11:38 ] Проверяем новые ставки...
[ 07:11:38 ] Новых ставок нет...
[ 07:11:43 ] Проверяем новые ставки...
[ 07:11:44 ] Новых ставок нет...
[ 07:11:48 ] Проверяем новые ставки...
[ 07:11:48 ] Новых ставок нет...
[ 07:11:53 ] Проверяем новые ставки...
[ 07:11:54 ] Новых ставок нет...
[ 07:11:58 ] Проверяем новые ставки...
[ 07:11:58 ] Новых ставок нет...
[ 07:12:03 ] Проверяем новые ставки...
[ 07:12:03 ] Новых ставок: -1
[ 07:12:08 ] Проверяем новые ставки...
[ 07:12:08 ] Новых ставок: -1
[ 07:12:13 ] Проверяем новые ставки...
[ 07:12:14 ] Новых ставок: -1
[ 07:12:18 ] Проверяем новые ставки...
[ 07:12:19 ] Новых ставок: -1
[ 07:12:23 ] Проверяем новые ставки...
[ 07:12:23 ] Новых ставок: -1
[ 07:12:28 ] Проверяем новые ставки...
[ 07:12:29 ] Новых ставок: -1
[ 07:12:33 ] Проверяем новые ставки...
[ 07:12:34 ] Новых ставок: -1
[ 07:12:35 ] Обрабатываем ставку: 813406934 (76561198168211579)
[ 07:12:35 ] Статус ставки: 1 (813406934 (76561198168211579))
[ 07:12:35 ] Предмет: 4037771751
[ 07:12:35 ] Предмет: 4037772353
[ 07:12:35 ] Предмет: 4034368209
[ 07:12:35 ] Предмет: 4037772275
[ 07:12:35 ] Предмет: 4037772200
[ 07:12:35 ] Предмет: 4037772398
[ 07:12:35 ] Предмет: 4037772009
[ 07:12:35 ] Предмет: 4034368461
[ 07:12:35 ] Предмет: 4034368094
[ 07:12:35 ] Предмет: 4034236746
[ 07:12:35 ] Предмет: 4029049321
[ 07:12:35 ] Предмет: 4029292362
[ 07:12:35 ] Предмет: 4029049402
[ 07:12:35 ] Предмет: 4031113211
[ 07:12:35 ] Предмет: 4029049275
[ 07:12:35 ] Предмет: 4029049045
[ 07:12:35 ] Предмет: 4029049118
[ 07:12:35 ] Принимаем обмен: 813406934 (76561198168211579)
[ 07:12:36 ] Ответ: Error: There was an error accepting this trade offer.  Please try again later. (11)
[ 07:12:37 ]{"response":{"offer":{"tradeofferid":"813406934","accountid_other":207945851,"message":"","expiration_time":1447646900,"trade_offer_state":8,"items_to_receive":[{"appid":"730","contextid":"2","assetid":"4037771751","classid":"310777271","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772353","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368209","classid":"310778013","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772275","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772200","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772398","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772009","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368461","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368094","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034236746","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049321","classid":"310776586","instanceid":"480085569","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029292362","classid":"937244374","instanceid":"188530139","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049402","classid":"310778585","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4031113211","classid":"310777929","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049275","classid":"310777118","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049045","classid":"310776840","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049118","classid":"469441962","instanceid":"302028390","amount":"1","missing":true}],"is_our_offer":false,"time_created":1446437300,"time_updated":1446437489,"from_real_time_trade":false,"steamid_other":"76561198168211579"}}}
[ 07:12:38 ] Проверяем новые ставки...
[ 07:12:39 ] Новых ставок нет...
[ 07:12:39 ] Обрабатываем ставку: 813406934 (76561198168211579)
[ 07:12:39 ] Статус ставки: 1 (813406934 (76561198168211579))
[ 07:12:39 ] Предмет: 4037771751
[ 07:12:39 ] Предмет: 4037772353
[ 07:12:39 ] Предмет: 4034368209
[ 07:12:39 ] Предмет: 4037772275
[ 07:12:39 ] Предмет: 4037772200
[ 07:12:39 ] Предмет: 4037772398
[ 07:12:39 ] Предмет: 4037772009
[ 07:12:39 ] Предмет: 4034368461
[ 07:12:39 ] Предмет: 4034368094
[ 07:12:39 ] Предмет: 4034236746
[ 07:12:39 ] Предмет: 4029049321
[ 07:12:39 ] Предмет: 4029292362
[ 07:12:39 ] Предмет: 4029049402
[ 07:12:39 ] Предмет: 4031113211
[ 07:12:39 ] Предмет: 4029049275
[ 07:12:39 ] Предмет: 4029049045
[ 07:12:39 ] Предмет: 4029049118
[ 07:12:39 ] Принимаем обмен: 813406934 (76561198168211579)
[ 07:12:40 ] Ответ: Error: There was an error accepting this trade offer.  Please try again later. (11)
[ 07:12:41 ]{"response":{"offer":{"tradeofferid":"813406934","accountid_other":207945851,"message":"","expiration_time":1447646900,"trade_offer_state":8,"items_to_receive":[{"appid":"730","contextid":"2","assetid":"4037771751","classid":"310777271","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772353","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368209","classid":"310778013","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772275","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772200","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772398","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772009","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368461","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368094","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034236746","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049321","classid":"310776586","instanceid":"480085569","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029292362","classid":"937244374","instanceid":"188530139","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049402","classid":"310778585","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4031113211","classid":"310777929","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049275","classid":"310777118","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049045","classid":"310776840","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049118","classid":"469441962","instanceid":"302028390","amount":"1","missing":true}],"is_our_offer":false,"time_created":1446437300,"time_updated":1446437489,"from_real_time_trade":false,"steamid_other":"76561198168211579"}}}
[ 07:12:43 ] Проверяем новые ставки...
[ 07:12:43 ] Обрабатываем ставку: 813406934 (76561198168211579)
[ 07:12:43 ] Статус ставки: 1 (813406934 (76561198168211579))
[ 07:12:43 ] Предмет: 4037771751
[ 07:12:43 ] Предмет: 4037772353
[ 07:12:43 ] Предмет: 4034368209
[ 07:12:43 ] Предмет: 4037772275
[ 07:12:43 ] Предмет: 4037772200
[ 07:12:43 ] Предмет: 4037772398
[ 07:12:43 ] Предмет: 4037772009
[ 07:12:43 ] Предмет: 4034368461
[ 07:12:43 ] Предмет: 4034368094
[ 07:12:43 ] Предмет: 4034236746
[ 07:12:43 ] Предмет: 4029049321
[ 07:12:43 ] Предмет: 4029292362
[ 07:12:43 ] Предмет: 4029049402
[ 07:12:43 ] Предмет: 4031113211
[ 07:12:43 ] Предмет: 4029049275
[ 07:12:43 ] Предмет: 4029049045
[ 07:12:43 ] Предмет: 4029049118
[ 07:12:43 ] Принимаем обмен: 813406934 (76561198168211579)
[ 07:12:43 ] Новых ставок нет...
[ 07:12:44 ] Ответ: Error: There was an error accepting this trade offer.  Please try again later. (11)
[ 07:12:45 ]{"response":{"offer":{"tradeofferid":"813406934","accountid_other":207945851,"message":"","expiration_time":1447646900,"trade_offer_state":8,"items_to_receive":[{"appid":"730","contextid":"2","assetid":"4037771751","classid":"310777271","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772353","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368209","classid":"310778013","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772275","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772200","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772398","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772009","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368461","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368094","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034236746","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049321","classid":"310776586","instanceid":"480085569","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029292362","classid":"937244374","instanceid":"188530139","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049402","classid":"310778585","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4031113211","classid":"310777929","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049275","classid":"310777118","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049045","classid":"310776840","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049118","classid":"469441962","instanceid":"302028390","amount":"1","missing":true}],"is_our_offer":false,"time_created":1446437300,"time_updated":1446437489,"from_real_time_trade":false,"steamid_other":"76561198168211579"}}}
[ 07:12:47 ] Обрабатываем ставку: 813406934 (76561198168211579)
[ 07:12:47 ] Статус ставки: 1 (813406934 (76561198168211579))
[ 07:12:47 ] Предмет: 4037771751
[ 07:12:47 ] Предмет: 4037772353
[ 07:12:47 ] Предмет: 4034368209
[ 07:12:47 ] Предмет: 4037772275
[ 07:12:47 ] Предмет: 4037772200
[ 07:12:47 ] Предмет: 4037772398
[ 07:12:47 ] Предмет: 4037772009
[ 07:12:47 ] Предмет: 4034368461
[ 07:12:47 ] Предмет: 4034368094
[ 07:12:47 ] Предмет: 4034236746
[ 07:12:47 ] Предмет: 4029049321
[ 07:12:47 ] Предмет: 4029292362
[ 07:12:47 ] Предмет: 4029049402
[ 07:12:47 ] Предмет: 4031113211
[ 07:12:47 ] Предмет: 4029049275
[ 07:12:47 ] Предмет: 4029049045
[ 07:12:47 ] Предмет: 4029049118
[ 07:12:47 ] Принимаем обмен: 813406934 (76561198168211579)
[ 07:12:48 ] Проверяем новые ставки...
[ 07:12:48 ] Ответ: Error: There was an error accepting this trade offer.  Please try again later. (11)
[ 07:12:48 ] Новых ставок нет...
[ 07:12:49 ]{"response":{"offer":{"tradeofferid":"813406934","accountid_other":207945851,"message":"","expiration_time":1447646900,"trade_offer_state":8,"items_to_receive":[{"appid":"730","contextid":"2","assetid":"4037771751","classid":"310777271","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772353","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368209","classid":"310778013","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772275","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772200","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772398","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4037772009","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368461","classid":"384801319","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034368094","classid":"991959905","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4034236746","classid":"520025252","instanceid":"0","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049321","classid":"310776586","instanceid":"480085569","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029292362","classid":"937244374","instanceid":"188530139","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049402","classid":"310778585","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4031113211","classid":"310777929","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049275","classid":"310777118","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049045","classid":"310776840","instanceid":"302028390","amount":"1","missing":true},{"appid":"730","contextid":"2","assetid":"4029049118","classid":"469441962","instanceid":"302028390","amount":"1","missing":true}],"is_our_offer":false,"time_created":1446437300,"time_updated":1446437489,"from_real_time_trade":false,"steamid_other":"76561198168211579"}}}
[ 07:12:49 ] Обрабатываем ставку: 813406934 (76561198168211579)
[ 07:12:49 ] Статус ставки: 1 (813406934 (76561198168211579))
[ 07:12:49 ] Предмет: 4037771751
[ 07:12:49 ] Предмет: 4037772353
[ 07:12:49 ] Предмет: 4034368209
[ 07:12:49 ] Предмет: 4037772275
[ 07:12:49 ] Предмет: 4037772200
[ 07:12:49 ] Предмет: 4037772398
[ 07:12:49 ] Предмет: 4037772009
[ 07:12:49 ] Предмет: 4034368461
[ 07:12:49 ] Предмет: 4034368094
[ 07:12:49 ] Предмет: 4034236746
[ 07:12:49 ] Предмет: 4029049321
[ 07:12:49 ] Предмет: 4029292362
[ 07:12:49 ] Предмет: 4029049402
[ 07:12:49 ] Предмет: 4031113211
[ 07:12:49 ] Предмет: 4029049275
[ 07:12:49 ] Предмет: 4029049045
[ 07:12:49 ] Предмет: 4029049118
[ 07:12:49 ] Принимаем обмен: 813406934 (76561198168211579)
[ 07:12:50 ] Ответ: Error: There was an error accepting this trade offer.  Please try again later. (11)
